Messwert
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1019
1011
1002
995
988
982
975
968
962
957
951
945
940
934
928
922
917
911
906
900
894
888
883
877
871
865
859
852
845
838
830
822
814
804
794
787
781
774
768
764
757
752
748
741
736
728
724
718
711
707
702
697
691
687
680
674
668
661
656
649
642
634
629
624
617
609
602
596
589
580
572
565
557
550
543
534
527
520
513
509
503
497
492
488
484
479
473
469
465
460
456
450
447
443
439
433
429
424
418
412
409
402
401
395
389
383
382
374
371
367
361
354
347
340
333
322
315
304
295
286
274
264
253
243
234
223
212
202
194
187
178
171
164
154
148
141
134
127
120
112
104
97
89
84
78
70
63
55
49
42
37
31
26
21
16
12
8
3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
8
15
22
31
38
45
51
55
59
62
66
69
74
78
82
86
91
97
102
109
114
121
126
130
134
140
145
150
157
164
170
178
187
196
206
214
223
233
240
251
257
267
273
279
287
292
296
303
306
309
313
319
320
327
329
335
337
344
352
355
361
365
370
376
382
388
394
401
406
410
414
419
425
430
435
441
448
450
455
458
462
464
470
474
479
484
489
496
501
505
510
516
521
525
531
534
540
543
546
549
552
557
560
564
567
571
576
580
583
586
590
594
598
604
609
614
619
621
626
629
633
636
640
642
644
647
651
655
658
660
665
668
672
676
679
684
687
690
695
696
700
703
706
711
715
717
722
726
732
733
737
741
745
750
754
758
763
767
770
774
779
783
787
791
798
802
808
813
817
822
826
829
833
838
840
843
847
850
854
855
859
860
864
866
870
873
876
879
883
886
889
893
896
899
903
906
908
911
914
917
921
924
928
930
936
940
943
946
949
952
956
960
964
968
972
976
980
985
989
993
997
1003
1009
1014
1018
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
1023
